TF	Target	OddsRatio
AT3G05800	AT4G18010	0
AT3G05800	AT5G16140	0
AT3G05800	AT4G00490	0
AT3G05800	AT4G26700	0
AT4G01460	AT5G16150	0.768310507226763
AT4G01460	AT1G80530	0.940903540903541
AT1G26260	AT1G77660	0.998204213774439
AT5G46690	AT3G62090	0
AT5G46690	AT5G53210	0
AT5G46690	AT3G09600	0
AT5G46690	AT5G48470	0.975568942436412
AT5G46690	AT1G30410	0.514680946006247
AT5G46690	AT2G40540	0.476669564857368
AT5G46690	AT4G18230	0
AT5G46690	AT1G23480	0
AT5G46690	AT4G29540	0
AT5G46690	AT1G12250	0.855127828386718
AT5G46690	AT4G22200	0.718032367427877
AT5G46690	AT4G01410	0
AT5G46690	AT5G02860	0
AT5G46690	AT3G56370	0.265719126506024
AT5G46690	AT3G50920	0
AT5G46690	AT1G79260	0
AT3G25710	AT4G24240	0
AT3G25710	AT1G22400	0
AT3G25710	AT4G33000	0
AT3G25710	AT5G57345	0.758837391987431
AT3G25710	AT3G26180	0.99015799015799
AT1G69010	AT5G58600	0
AT1G69010	AT2G30260	0.236145574855252
AT1G69010	AT1G79440	0.638139638139638
AT1G69010	AT2G35840	0.969204301075269
AT1G69010	AT3G48350	0
AT1G69010	AT3G18215	0.798764584763212
AT1G69010	AT1G16570	0.957482008437422
AT1G69010	AT1G11870	0.700934579439252
AT1G69010	AT2G24390	0.884022770398482
AT1G69010	AT3G07180	0.749754082234901
AT1G69010	AT4G07950	0.485043988269795
AT1G69010	AT3G55640	0.46367461430575
AT1G69010	AT1G60620	0
AT1G69010	AT3G10210	0.873668417104276
AT2G13130	AT3G19860	0.481771706335903
AT2G13130	AT1G76065	0
AT2G13130	AT2G26540	0
AT2G13130	AT4G11330	0
AT2G13130	AT1G58340	0
AT2G13130	AT2G40860	0
AT2G13130	AT1G44350	0
AT2G13130	AT2G47180	0.928708133971292
AT2G13130	AT3G46640	0
AT2G13130	AT5G62990	0
AT2G13130	AT2G20340	0
AT2G13130	AT2G35170	0.674487657196088
AT2G13130	AT4G24790	0
AT2G13130	AT5G10870	0
AT1G51070	AT1G35430	0
AT1G51070	AT3G52105	0.72693424208002
AT1G51070	AT1G19140	0.810690475629579
AT1G51070	AT1G05340	0
